operation_code,kind,stage,semantic_unit,count_formula,bound_type,alternative,assumption_or_blocker,accounting_role
mv.repeat_alternate_normalization,mv1,outer_dgp,probability_normalizations,R*D,upper_bound,all_candidates_calibrate,one_zero_mass_renormalization_per_nonmatching_recorded_repeat_at_most,standalone_semantic_unit
mv.repeat_state_lookup,mv1,outer_dgp,categorical_lookups,R*D,upper_bound,all_candidates_calibrate,alternate_word_consumed_for_every_repeat,standalone_semantic_unit
mv.repeat_clip_round,mv1,outer_dgp,clip_round_events,R*D,upper_bound,all_candidates_calibrate,one_probability_clip_round_per_recorded_repeat_at_most,standalone_semantic_unit
mv.bootstrap_index_words,mv1,bootstrap,uint64_words,R*B*2*n,upper_bound,all_candidates_calibrate_and_all_units_evaluable,realized_evaluable_total_is_at_most_2*n,standalone_semantic_unit
mv.bootstrap_index_formations,mv1,bootstrap,index_formations,R*B*2*n,upper_bound,all_candidates_calibrate_and_all_units_evaluable,one_index_formation_per_word,standalone_semantic_unit
mv.q_recomputations,mv1,analysis,q_studentizer_recomputations,R*(B+1),upper_bound,all_candidates_calibrate_and_are_estimable,point_plus_all_bootstrap_recomputations,standalone_semantic_unit
mv.max_t_selections,mv1,analysis,max_t_selection_and_three_lower_bound_assemblies,R,upper_bound,all_candidates_calibrate_and_are_estimable,one_per_estimable_outer_selects_the_fixed_order_max_t_critical_value_and_inclusively_constructs_lower_bal_lower_present_and_lower_absent_as_qhat_minus_critical_times_SE;no_separate_lower_bound_construction_rows,standalone_semantic_unit
mv.fe_fits,mv1,sensitivity,fixed_effect_fits,R,upper_bound,all_candidates_calibrate_and_are_estimable,one_joint_FE_fit_per_outer,standalone_semantic_unit
mv.loo_reductions,mv1,sensitivity,leave_one_reader_reductions,10*R,upper_bound,all_candidates_calibrate_and_are_estimable,ten_reader_omissions_per_outer,standalone_semantic_unit
mv.outer_screen_assignment_tallies,mv1,analysis,four_count_tally_assemblies,M_c,conditional_exact,all,one_per_unique_integrity_valid_committed_outer_record;computes_the_four_screen_stratum_by_assigned_polarity_counts;excludes_DGP_q_studentization_and_classification,composite_point_output_tally
mv.outer_classification_assemblies,mv1,analysis,state_event_failure_status_assemblies,M_c,conditional_exact,composite_outer_classification,one_per_unique_integrity_valid_committed_outer_record;includes_all_applicable_finite_denominator_yield_q_strict_threshold_three_coverage_FE_rank_and_tolerance_all_30_LOO_veto_bootstrap_undefined_comparisons_two_bit_slot_states_event_bits_failure_component_mask_and_primary_status_precedence;excludes_estimator_computation_aggregate_tally_and_serialization,composite_control_classification_do_not_add_future_granular_comparison_or_mask_rows
mv.aggregate_interval_calls,mv1,aggregate,exact_binomial_intervals,I_outer*I_complete*(17+I_null+I_planning),conditional_upper_bound,all_candidates_calibrate,I_outer=1_iff_outer_eligibility=ELIGIBLE_else_0_and_I_complete=1_required;NOT_ELIGIBLE_and_INFRASTRUCTURE_INCOMPLETE_both_produce_no_interval_but_enter_distinct_family_failure_or_incomplete_inventories;applicability_and_denominators_require_calibration,composite_interval_alternative_do_not_sum_with_primitive_quantiles
mv.aggregate_beta_quantile_calls_upper,mv1,aggregate,beta_quantile_calls,I_outer*I_complete*(2*(17+I_planning)+I_null),conditional_upper_bound,primitive_exact_binomial_path,I_outer=1_iff_outer_eligibility=ELIGIBLE_else_0_and_I_complete=1_required;two_quantiles_per_two_sided_ordinary_or_planning_interval_and_one_per_one_sided_null_interval;boundary_success_counts_can_reduce_realized_calls,primitive_interval_alternative_do_not_sum_with_composite_interval_calls
mv.aggregate_completion_identity_checks,mv1,aggregate,bitmap_and_record_identity_checks,I_outer*R,conditional_upper_bound,all_candidates_calibrate,I_outer=1_iff_outer_eligibility=ELIGIBLE_else_0;one_expected_outer_identity_check_against_completion_bitmap_unique_canonical_record_and_integrity_digest;I_complete_requires_all_R,standalone_semantic_unit
mv.aggregate_base_counter_updates,mv1,aggregate,boolean_counter_updates,I_outer*I_complete*17*R,conditional_upper_bound,all_candidates_calibrate,I_outer=1_iff_outer_eligibility=ELIGIBLE_else_0_and_I_complete=1_required_after_full_identity_scan;seventeen_unique_base_Bernoulli_counters;complete_q_and_complete_joint_counters_are_reused_by_null_and_planning_without_second_tally,shared_base_counter_tally
mv.aggregate_proportion_evaluations,mv1,aggregate,binary64_divisions,I_outer*I_complete*17,conditional_exact,all,I_outer=1_iff_outer_eligibility=ELIGIBLE_else_0_and_I_complete=1_required;one_x_divided_by_fixed_R_for_each_distinct_base_event_proportion;complete_q_proportion_is_reused_by_null_false_qualification_and_complete_joint_proportion_by_planning_power_without_extra_divisions,shared_distinct_proportion_evaluations
mv.aggregate_record_classification_assemblies,mv1,aggregate_audit,aggregate_state_applicability_status_assemblies,1,exact,composite_aggregate_classification,one_per_manifest_candidate_even_when_calibration_or_outer_eligibility_fails_or_I_complete=0;assembles_all_manifest_membership_NOT_REACHED_VALUE_trials_interval_and_cell_status_fields_from_frozen_calibration_completion_integrity_and_numerical_outputs;excludes_tallies_proportion_evaluations_intervals_and_serialization,composite_control_classification_do_not_add_future_granular_aggregate_state_rows
mv.calibration_domain_bound_constructions,mv1,calibration_domain,domain_bound_construction_assemblies,I_domain*2,conditional_exact,all,I_domain=1_only_after_owner_freezes_open_admissible_mean_interval_endpoint_or_interior_margin_and_strictly_positive_beta_shape_bound_rules;one_present_and_one_absent_polarity_assembly_each_computes_admissible_mean_lower_and_upper_and_for_beta_candidates_the_positive_shape_bound;two_point_candidates_mark_the_shape_bound_INAPPLICABLE;excludes_scan_solve_vector_evaluation_and_static_classification,composite_static_domain_output_construction
mv.calibration_candidate_vector_evaluations,mv1,calibration,candidate_vector_evaluations,2*(1001+80)*(80+2)*2^20,upper_bound,successful_calibration_path,both_polarities_grid_and_outer_midpoint_inner_solve_evaluations_only;excludes_independent_validation_vectors,shape_denominator_do_not_allocate_as_compute
mv.calibration_validation_vector_evaluations,mv1,calibration,validation_vector_evaluations,2*2^22,upper_bound,successful_calibration_path,one_independent_validation_shape_per_polarity;excludes_candidate_solve_vectors,shape_denominator_do_not_allocate_as_compute
mv.calibration_alpha_solves,mv1,calibration,alpha_solves,2*(1001+80),upper_bound,successful_calibration_path,per_polarity_grid_plus_outer_midpoints,shape_denominator_do_not_allocate_as_compute
mv.calibration_alpha_bracket_checks,mv1,calibration,bracket_checks,2*(1001+80),upper_bound,successful_calibration_path,one_endpoint_bracket_check_per_inner_alpha_solve;early_failure_reduces_realized_count;finite_sign_orientation_inclusive_endpoint_equality_and_residual_zero_semantics_are_owner_blocked,standalone_semantic_unit
mv.calibration_alpha_midpoint_controls,mv1,calibration,bisection_midpoint_events,2*(1001+80)*80,upper_bound,successful_calibration_path,at_most_80_inner_alpha_midpoints_per_solve;endpoint_or_earlier_failure_reduces_realized_count;midpoint_residual_zero_and_bracket_endpoint_update_equality_rules_are_owner_blocked,standalone_semantic_unit
mv.calibration_residual_evaluations,mv1,calibration,residual_evaluations,2*(1001+80)*(80+2),upper_bound,successful_calibration_path,per_alpha_endpoint_and_midpoint_signed_yield_residual=estimated_P(E=1_given_Y)-rho_Y;all_evaluated_residuals_are_cached_but_one_is_selected_for_each_trial_mean_only_after_the_inner_alpha_rule_is_owner_frozen,standalone_semantic_unit
mv.calibration_inner_alpha_final_selections,mv1,calibration,inner_alpha_cached_solution_selection_events,2*(1001+80),upper_bound,inner_alpha_owner_choice,at_most_one_per_reached_trial_mean_after_two_endpoints_and_80_midpoint_updates;selects_one_cached_alpha_and_paired_signed_yield_residual_for_the_q_evaluation;inner_bracket_sign_orientation_inclusive_endpoint_predicate_midpoint_zero_update_and_endpoint_midpoint_tie_or_final_selection_rules_are_not_frozen,standalone_inner_alpha_solution_blocker
mv.calibration_scan_points,mv1,calibration,scan_point_q_residual_evaluations,2*1001,upper_bound,successful_calibration_path,"one_signed_q_residual=estimated_E(q_observed_given_E=1,Y)-q_Y_target_after_an_owner_frozen_paired_inner_alpha_selection_at_each_of_1001_points_per_polarity;cached_for_monotonicity_and_outer_bracket_controls",standalone_semantic_unit
mv.calibration_outer_q_bracket_checks,mv1,calibration,bracket_checks,2,upper_bound,successful_calibration_path,one_outer_q_bracket_check_after_each_completed_polarity_scan;early_failure_reduces_realized_count;finite_sign_orientation_inclusive_endpoint_equality_and_residual_zero_semantics_are_owner_blocked,standalone_semantic_unit
mv.calibration_outer_midpoints,mv1,calibration,outer_bisection_midpoint_q_residual_evaluations,2*80,upper_bound,successful_calibration_path,"one_signed_q_residual=estimated_E(q_observed_given_E=1,Y)-q_Y_target_after_an_owner_frozen_paired_inner_alpha_selection_per_midpoint;the_updated_outer_endpoint_candidates_and_paired_alpha_yield_and_q_residuals_are_cached_but_outer_midpoint_zero_update_and_final_selection_rules_remain_owner_blocked",standalone_semantic_unit
mv.calibration_monotonicity_comparisons,mv1,calibration,adjacent_difference_test_and_running_argmax_updates,2*1000,upper_bound,successful_calibration_path,after_owner_frozen_inner_alpha_selections_for_i=0_to_999_compute_raw_selected_q_i_minus_selected_q_i_plus_1_without_zero_clamping_apply_strict_greater_than_1e-6_test_and_update_fixed_ascending_scan_running_max_and_zero_based_preceding_index_argmax_with_smallest_i_tie_break_even_if_all_differences_are_nonpositive;final_max_and_index_are_reused_by_static_outputs,standalone_semantic_unit
mv.calibration_final_solution_selections,mv1,calibration,final_cached_solution_selection_events,2,upper_bound,final_solution_owner_choice,at_most_one_per_polarity_after_80_outer_midpoint_updates;selects_one_cached_mu_and_its_paired_inner_alpha_and_retains_their_signed_yield_and_q_residuals;whether_endpoint_midpoint_or_other_cached_candidate_and_the_tie_rule_are_not_frozen,standalone_final_solution_selection_blocker
mv.calibration_final_distribution_parameter_constructions,mv1,calibration,final_distribution_parameter_constructions,2,upper_bound,reached_final_solution,at_most_one_per_selected_polarity;constructs_two_strictly_positive_beta_shapes_or_one_unit_interval_two_point_mixing_probability_and_marks_the_other_distribution_branch_INAPPLICABLE;excludes_inverse_CDF_vector_domain_and_selection_work,standalone_final_parameter_output_construction
mv.calibration_validation_passes,mv1,calibration,validation_residual_and_pass_assemblies,2,upper_bound,successful_calibration_path,"one_per_reached_polarity;retains_signed_yield_residual=validation_estimated_P(E=1_given_Y)-rho_Y_and_signed_q_residual=validation_estimated_E(q_observed_given_E=1,Y)-q_Y_target_applies_both_absolute_residual_less_than_or_equal_to_0.0005_comparisons_and_emits_pass_or_fail;vector_generation_and_reductions_are_separate",standalone_semantic_unit
mv.calibration_control_record_assemblies,mv1,calibration_audit,polarity_control_record_assemblies,2,exact,all,one_present_and_one_absent_record_per_manifest_candidate;copies_the_11_realized_control_counters_in_frozen_order_preserves_zero_for_scientifically_skipped_later_stages_sets_VALUE_for_a_committed_scientific_path_or_NOT_REACHED_when_no_committed_path_exists_and_excludes_the_counted_operations_static_classification_and_serialization,composite_control_output_assembly
mv.calibration_materialized_words,mv1,calibration_raw,uint64_words,2*(2^20+2^22)*32,upper_bound,materialize,complete_raw_buffers_once,exclusive_calibration_raw_alternative
mv.calibration_replay_words,mv1,calibration_raw,uint64_words,32*(V_cal+V_val),upper_bound,replay,V_cal_and_V_val_are_the_separate_candidate_and_validation_vector_rows;regenerate_raw_words_for_every_vector_evaluation,exclusive_calibration_raw_alternative
mv.calibration_open_unit_conversions_replay,mv1,calibration_conversion,uint64_to_open_unit,32*(V_cal+V_val),upper_bound,replay,convert_each_regenerated_word_for_every_candidate_or_validation_evaluation,exclusive_conversion_alternative
mv.calibration_open_unit_conversions_materialize_reconvert,mv1,calibration_conversion,uint64_to_open_unit,32*(V_cal+V_val),upper_bound,materialize_raw_then_reconvert,retain_raw_words_but_reconvert_for_every_candidate_or_validation_evaluation,exclusive_conversion_alternative
mv.calibration_open_unit_conversions_materialize_cache,mv1,calibration_conversion,uint64_to_open_unit,2*(2^20+2^22)*32,upper_bound,materialize_raw_and_open_unit_cache,convert_each_materialized_word_once,exclusive_conversion_alternative
mv.calibration_open_unit_cache_bytes,mv1,calibration_conversion,bytes,8*2*(2^20+2^22)*32,upper_bound,materialize_raw_and_open_unit_cache,additional_uncompressed_binary64_cache_per_candidate,exclusive_conversion_storage_alternative
mv.calibration_normal_inverse,mv1,calibration_transform,inverse_normal_calls,11*(V_cal+V_val),upper_bound,materialize_or_replay,one_probability_plus_ten_state_channels_per_candidate_or_validation_vector,standalone_semantic_unit
mv.calibration_beta_inverse,mv1,calibration_transform,beta_inverse_calls,(V_cal+V_val)_or_0,upper_bound,beta_candidates_only,zero_for_two_point_candidates,standalone_semantic_unit
mv.calibration_two_point_lookup,mv1,calibration_transform,two_point_lookups,(V_cal+V_val)_or_0,upper_bound,two_point_candidates_only,zero_for_beta_candidates,standalone_semantic_unit
mv.calibration_coverage_expit,mv1,calibration_transform,expit_calls,10*(V_cal+V_val),upper_bound,materialize_or_replay,ten_readers_per_candidate_or_validation_vector,composite_expit_alternative_do_not_sum_with_primitive_exp
mv.calibration_coverage_exp_calls,mv1,calibration_transform,exp_calls,10*(V_cal+V_val),upper_bound,primitive_expit_path,one_exponential_per_coverage_expit,primitive_expit_alternative_do_not_sum_with_composite
mv.calibration_coverage_lookup,mv1,calibration_transform,bernoulli_lookups,10*(V_cal+V_val),upper_bound,materialize_or_replay,ten_coverage_words_per_candidate_or_validation_vector,standalone_semantic_unit
mv.calibration_state_softmax,mv1,calibration_transform,softmax_vectors,10*(V_cal+V_val),upper_bound,materialize_or_replay,ten_readers_per_candidate_or_validation_vector,composite_softmax_alternative_do_not_sum_with_primitive_components
mv.calibration_state_softmax_exp_calls,mv1,calibration_transform,exp_calls,30*(V_cal+V_val),upper_bound,primitive_softmax_path,three_exponentials_for_each_of_ten_reader_state_vectors,primitive_softmax_alternative_do_not_sum_with_composite
mv.calibration_state_softmax_normalizations,mv1,calibration_transform,probability_normalizations,10*(V_cal+V_val),upper_bound,primitive_softmax_path,one_normalization_per_reader_state_vector,primitive_softmax_alternative_do_not_sum_with_composite
mv.calibration_state_softmax_logsumexp_calls,mv1,calibration_transform,logsumexp_calls,10*(V_cal+V_val),upper_bound,optional_reference_softmax_path,zero_if_direct_stable_normalization_is_frozen,optional_primitive_subalternative_do_not_add_without_reference_lock
mv.calibration_state_lookup,mv1,calibration_transform,categorical_lookups,10*(V_cal+V_val),upper_bound,materialize_or_replay,ten_readers_per_candidate_or_validation_vector,standalone_semantic_unit
mv.calibration_clip_round,mv1,calibration_transform,clip_round_events,10*(V_cal+V_val),upper_bound,materialize_or_replay,exact_reference_rule_owner_blocked,standalone_semantic_unit
mv.calibration_reductions,mv1,calibration,fixed_order_reductions,V_cal+V_val,upper_bound,materialize_or_replay,one_declared_vector_reduction_unit_per_candidate_or_validation_vector,standalone_semantic_unit
mv.truth_reference_selection_events,mv1,static_classification,truth_reference_selection_events,unresolved,unresolved,truth_definition_owner_choice,target_vs_independently_validated_calibrated_truth_and_per_component_nonreach_behavior_not_frozen,standalone_semantic_unit
mv.static_classification_assemblies,mv1,static_classification,static_state_failure_classification_assemblies,1,exact,composite_static_classification,one_per_manifest_candidate;includes_all_per_polarity_and_per_residual_two_bit_states_distribution_specific_INAPPLICABLE_states_bracket_monotonicity_residual_validation_status_outer_eligibility_and_first_static_or_calibration_failure_precedence;excludes_calibration_numerics_and_owner_truth_selection_work,composite_control_classification_do_not_add_future_granular_static_state_or_comparison_rows
mv.repeat_metric_evaluations,mv1,analysis,metric_evaluations,unresolved,unresolved,owner_choice,probability_and_categorical_repeat_estimators_not_frozen,standalone_semantic_unit
mv.calibration_seed_derivations,mv1,calibration_identity,hmac_seed_derivations,4,upper_bound,successful_calibration_path,calibration_and_validation_seed_for_two_polarities,standalone_semantic_unit
mv.calibration_trace_digest_calls,mv1,calibration_identity,sha256_calls,2,upper_bound,attempted_polarities,one_final_whole_trace_digest_per_attempted_polarity_at_most;does_not_include_checkpoint_or_raw_buffer_digests;trace_encoding_and_depth_remain_owner_blocked,standalone_final_trace_identity_blocker_until_trace_lock
mv.calibration_trace_hash_bytes,mv1,calibration_identity,bytes,unresolved,unresolved,trace_owner_choice,canonical_trace_encoding_depth_and_failure_transcript_domain_not_frozen,standalone_identity_blocker
mv.calibration_evaluation_digest_calls,mv1,calibration_identity,sha256_calls,unresolved,unresolved,evaluation_trace_owner_choice,one_integrity_digest_per_retained_complete_named_mean_endpoint_or_midpoint_evaluation_but_trace_depth_and_early_failure_depth_not_frozen;not_a_durable_restart_checkpoint,standalone_evaluation_identity_blocker
mv.calibration_evaluation_hash_bytes,mv1,calibration_identity,bytes,unresolved,unresolved,evaluation_trace_owner_choice,complete_evaluation_transcript_domain_and_encoding_not_frozen;not_a_durable_restart_checkpoint,standalone_evaluation_identity_blocker
mv.calibration_raw_buffer_digest_calls,mv1,calibration_identity,sha256_calls,unresolved,unresolved,materialize_raw,number_of_materialized_base_and_validation_buffers_and_tiling_verification_policy_not_frozen,exclusive_materialization_identity_blocker
mv.calibration_raw_buffer_hash_bytes,mv1,calibration_identity,bytes,unresolved,unresolved,materialize_raw,canonical_raw_buffer_header_tiling_and_digest_domain_not_frozen,exclusive_materialization_identity_blocker
mv.outer_seed_derivations,mv1,outer_identity,hmac_seed_derivations,2*R,upper_bound,all_candidates_calibrate,one_outer_DGP_and_one_analysis_bootstrap_seed_per_identity,standalone_semantic_unit
mv.calibration_validation_hashes,mv1,calibration_identity,sha256_calls,2,upper_bound,successful_calibration_path,zero_to_two_calls_but_raw_word_transformed_vector_residual_or_reduction_transcript_domain_and_encoding_owner_blocked,standalone_identity_blocker_until_validation_digest_lock
mv.calibration_validation_hash_bytes,mv1,calibration_identity,bytes,unresolved,unresolved,validation_digest_owner_choice,canonical_validation_transcript_domain_and_encoding_not_frozen,standalone_identity_blocker
mv.outer_payload_hashes,mv1,serialization,sha256_calls,M_c,conditional_exact,all,one_hash_per_committed_exact_600_byte_canonical_scientific_record_with_digest_slot_zero;mutable_execution_sidecar_excluded,standalone_semantic_unit
mv.outer_record_serializations,mv1,serialization,record_serializations,M_c,conditional_exact,all,one_600_byte_record_per_unique_integrity_valid_committed_outer_identity,standalone_semantic_unit
mv.outer_record_bytes,mv1,serialization,bytes,600*M_c,conditional_exact,all,fixed_TB0011_core_width_times_committed_record_count,standalone_semantic_unit
mv.completion_bitmap_updates,mv1,checkpoint,bit_updates,M_c,conditional_exact,all,one_final_completion_bit_update_per_unique_integrity_valid_committed_outer_identity,standalone_semantic_unit
mv.chunk_journal_records,mv1,checkpoint,record_serializations,unresolved,unresolved,chunk_policy,chunk_size_retry_and_commit_policy_not_frozen,standalone_semantic_unit
mv.failure_detail_records,mv1,failure_audit,record_serializations,unresolved,unresolved,realized_failures,failure_message_taxonomy_and_realized_failures_not_frozen,standalone_semantic_unit
mv.execution_attempt_records,mv1,restart,record_serializations,unresolved,unresolved,resource_policy,one_32_byte_sidecar_record_per_scheduled_MV_STATIC_MV_CAL_PRESENT_MV_CAL_ABSENT_MV_OUTER_RANGE_or_MV_CELL_AGGREGATE_attempt;whole_polarity_is_atomic_calibration_retry_unit;disjoint_from_reliability_and_global_family_work;chunking_deadline_retry_and_infrastructure_failure_process_not_frozen,standalone_semantic_unit
mv.execution_attempt_record_bytes,mv1,restart,bytes,unresolved,unresolved,resource_policy,32_bytes_per_scheduled_atomic_work_unit_attempt_but_attempt_occurrence_not_frozen,standalone_semantic_unit
